Using /tmp/report_matmul_tvmcuda_16x1024x512.sqlite for SQL queries.
Running [/usr/local/cuda-11.4/nsight-systems-2021.2.4/target-linux-x64/reports/gputrace.py /tmp/report_matmul_tvmcuda_16x1024x512.sqlite]... 

Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
0.303929,5280,210,,,,,,,,,,32768,6206.061,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.304413,350495,217,,,,,,,,,,2097152,5983.401,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
0.308044,13216,227,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308070,10783,230,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308081,10240,233,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308093,10304,236,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308104,10272,239,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308115,10464,242,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308127,10240,245,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308138,10272,248,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308483,10304,251,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308494,10304,254,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308506,10272,257,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308517,10208,260,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308528,10272,263,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308540,10240,266,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308551,10240,269,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308562,10272,272,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308573,10240,275,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308584,10272,278,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308596,10272,281,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308607,10272,284,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308618,10304,287,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308629,10304,290,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308641,10208,293,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308652,10240,296,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308663,10240,299,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308674,10207,302,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308685,10336,305,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308697,10240,308,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
0.308708,10272,311,64,1,1,256,1,1,60,20480,0,,,,,Tesla V100-SXM2-16GB (0),1,7,matmul_kernel0
